Loại,Nhóm,Bộ ,,Thành phần trong 1 bộ ,Đơn giá bộ ,Công ty ,Hãng,Nước sản xuất,% thầu 2025,SL thầu,2025,Tổng,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
,A28051,Khung giá đỡ (Stent) mạch máu có màng bọc đường kính nhỏ,Stent màng bọc loại 8,1,"28,500,000",CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC KIM HÒA PHÁT,"Bentley
Innomed
GmbH",Mỹ,0.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A28061,"Khung giá đỡ (Stent) mạch ngoại biên có màng bọc chất liệu ePTFE, bung bằng bóng.",Stent màng bọc loại 9,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ THĂNG LONG,Life Vascular Devices Biotech S.L (iVascular),Mỹ,10.00,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,A21121,Stent graft cho động mạch chậu,Stent màng bọc loại 10,1,"28,500,000",CÔNG TY CỔ PHẦN THƯƠNG MẠI CỔNG VÀNG,Jotec GmbH,Mỹ,10.00,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
N06.02.100,22,"Giá đỡ (stent) các loại, các cỡ khác",,,,,,,,,,,,,,,,,,,,,,
,A29011,"Khung giá đỡ (Stent) bắc cầu cho túi phình mạch não cổ rộng, có thể thay đổi kích thước",Giá đỡ stent loại 1,1,"28,500,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ ĐẠI DƯƠNG,Rapid Medical Ltd,Mỹ,0.00,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27021,Khung giá đỡ (stent) động mạch chậu có màng bọc sinh học vĩnh viễn loại tự nở,Giá đỡ stent loại 2,1,"28,500,000",CÔNG TY CỔ PHẦN TRANG THIẾT BỊ Y TẾ NGỌC LAM,CID S.p.A,Mỹ,33.33,30,10,10,3,2,5,0,0,0,0,0,0,0,0,0
,A27051,Khung giá đỡ (stent) động mạch ngoại vi - đường mật,Giá đỡ stent loại 3,1,"28,500,000",CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumente GmbH.,Mỹ,43.33,30,13,13,3,4,6,0,0,0,0,0,0,0,0,0
,A25021,"Khung giá đỡ (stent) kim loại đường mật can thiệp qua nội soi tự bung, có gắn thòng lọng để thu hồi Stent khi cần.",Giá đỡ stent loại 4,1,"28,500,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,"Mediwood Co., Ltd",Mỹ,4.00,50,2,2,0,0,2,0,0,0,0,0,0,0,0,0
,A23061,Khung giá đỡ (Stent) mạch máu thần kinh,Giá đỡ stent loại 5,1,"28,500,000",CÔNG TY TNHH VINACATECH,femtos GmbH,Mỹ,100.00,10,10,10,3,3,4,0,0,0,0,0,0,0,0,0
,A23021,Khung giá đỡ (stent) mạch não tự giãn nở hỗ trợ can thiệp và điều trị phình mạch não và hỗ trợ thả coil,Giá đỡ stent loại 6,1,"28,500,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Mỹ,28.00,125,35,35,13,12,10,0,0,0,0,0,0,0,0,0
,A23031,"Khung giá đỡ (stent) mạch não tự giãn nở, dùng trong điều trị xơ vữa động mạch nội sọ có thể thu hồi",Giá đỡ stent loại 7,1,"28,500,000",CÔNG TY CỔ PHẦN Y DƯỢC VÀ CÔNG NGHỆ TUỆ ĐỨC,Acandis,Mỹ,19.00,100,19,19,6,4,9,0,0,0,0,0,0,0,0,0
,A27121,Khung giá đỡ (stent) tĩnh mạch các cỡ,Giá đỡ stent loại 8,1,"28,500,000",CÔNG TY TNHH THIÊN VIỆT,Optimed Medizinische Instrumente GmbH.,Mỹ,5.00,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0
,A02621,Lưới lọc tĩnh mạch chủ dưới tạm thời,Giá đỡ stent loại 9,1,"28,500,000",CÔNG TY TNHH THIÊN VIỆT,"Argon Medical Devices, Inc.",Mỹ,8.00,25,2,2,1,0,1,0,0,0,0,0,0,0,0,0
,A25111,"Stent kim loại đường mật tự bung, có cover",Giá đỡ stent loại 10,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Mỹ,0.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A25131,"Stent kim loại đường mật, loại dẫn lưu mật ra dạ dày dưới nội soi siêu âm.",Giá đỡ stent loại 11,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Mỹ,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A25141,"Stent kim loại đường mật, loại dẫn lưu nang giả tụy",Giá đỡ stent loại 12,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Mỹ,0.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A25121,Stent kim loại tá tràng tự bung có cover hoặc không cover,Giá đỡ stent loại 13,1,"28,500,000",CÔNG TY TNHH THIẾT BỊ Y TẾ ETC,"M.I.Tech Co., Ltd.",Mỹ,0.00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27241,"Khung giá đỡ (Stent) động mạch chủ, động mạch phổi, mạch máu ngoại biên các cỡ",Giá đỡ stent loại 14,1,"28,500,000",CÔNG TY TNHH MỘT THÀNH VIÊN CVS MEDICAL,Andramed GmbH,Mỹ,0.00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,A27171,"Khung giá đỡ (Stent) động mạch chậu tự bung, có lớp phủ trơ",Giá đỡ stent loại 15,1,"28,500,000",CÔNG TY CỔ PHẦN DƯỢC PHẨM THỐNG NHẤT,Biotronik AG,Mỹ,45.00,20,9,9,0,0,9,0,0,0,0,0,0,0,0,0
